Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Dělnic.str.sociální spravedl.,Blok proti islam.-Obran.domova,Občanská demokratická strana,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,REALISTÉ,STAROSTOVÉ A NEZÁVISLÍ,Česká str.sociálně demokrat.,Radostné Česko,Řád národa - Vlastenecká unie,Komunistická str.Čech a Moravy,Strana svobodných občanů,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Občanská demokratická aliance,TOP 09,Česká strana národně sociální,Referendum o Evropské unii,SPORTOVCI,Strana zelených,SPR-Republ.str.Čsl. M.Sládka,Dobrá volba 2016,"ROZUMNÍ-stop migraci,diktát.EU",Křesť.demokr.unie-Čs.str.lid.,Unie H.A.V.E.L.,Česká pirátská strana,ANO 2011
532932,Hradiště,24,19,19,0,1,"100,00",0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,10,0,0,3,0,0
529737,Hulice,237,173,173,1,2,"100,00",0,13,0,0,0,11,20,11,0,0,0,0,6,0,0,20,0,70,1,1,12,0,4
529745,Hvězdonice,257,189,189,0,1,"100,00",0,31,0,0,0,6,23,13,4,1,1,0,0,0,1,14,0,49,1,0,32,0,12
532886,Chářovice,145,114,112,0,4,"100,00",0,5,0,0,0,11,8,15,1,1,0,0,0,0,0,17,1,37,0,1,10,1,0
532878,Chleby,46,33,32,0,0,"100,00",0,3,0,0,0,0,3,9,1,0,0,0,1,0,0,2,0,10,1,0,2,0,0
532045,Chlístov,278,177,176,0,2,"100,00",1,5,0,0,0,5,29,18,0,0,0,0,3,0,2,5,0,62,5,0,32,0,7
529770,Chlum,112,87,87,0,0,"100,00",1,6,0,0,0,3,5,5,0,0,0,0,6,0,0,6,0,51,0,0,4,0,0
529788,Chmelná,112,95,95,1,0,"100,00",0,5,0,0,0,8,4,4,1,0,0,0,33,0,0,0,0,23,1,0,11,0,4
529796,Chocerady,991,664,659,2,12,"100,00",0,53,0,0,1,50,74,42,4,1,0,0,12,1,8,51,0,171,9,1,119,2,46
532606,Choratice,58,34,34,0,0,"100,00",0,2,0,0,0,2,5,4,1,0,0,0,6,0,0,1,0,10,0,0,0,0,3
